season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1967,St. Louis,St. Louis Blues,NHL,West,,,,,true,2,true,false
1968,St. Louis,St. Louis Blues,NHL,West,,,FIRST,,true,2,true,false
1969,St. Louis,St. Louis Blues,NHL,West,,,FIRST,,true,2,true,false
1970,St. Louis,St. Louis Blues,NHL,West,,,,,true,0,false,false
1971,St. Louis,St. Louis Blues,NHL,West,,,,,true,1,false,false
1972,St. Louis,St. Louis Blues,NHL,West,,,,,true,0,false,false
1973,St. Louis,St. Louis Blues,NHL,West,,,,,false,,,
1974,St. Louis,St. Louis Blues,NHL,Campbell,Smythe,,,,true,0,false,false
1975,St. Louis,St. Louis Blues,NHL,Campbell,Smythe,,,,true,0,false,false
1976,St. Louis,St. Louis Blues,NHL,Campbell,Smythe,,,FIRST,true,0,false,false
1977,St. Louis,St. Louis Blues,NHL,Campbell,Smythe,,,,false,,,
1978,St. Louis,St. Louis Blues,NHL,Campbell,Smythe,,,,false,,,
1979,St. Louis,St. Louis Blues,NHL,Campbell,Smythe,,,,true,0,false,false
1980,St. Louis,St. Louis Blues,NHL,Campbell,Smythe,,,FIRST,true,1,false,false
1981,St. Louis,St. Louis Blues,NHL,Campbell,Norris,,,,true,1,false,false
1982,St. Louis,St. Louis Blues,NHL,Campbell,Norris,,,,true,0,false,false
1983,St. Louis,St. Louis Blues,NHL,Campbell,Norris,,,,true,1,false,false
1984,St. Louis,St. Louis Blues,NHL,Campbell,Norris,,,FIRST,true,0,false,false
1985,St. Louis,St. Louis Blues,NHL,Campbell,Norris,,,,true,2,false,false
1986,St. Louis,St. Louis Blues,NHL,Campbell,Norris,,,FIRST,true,0,false,false
1987,St. Louis,St. Louis Blues,NHL,Campbell,Norris,,,,true,1,false,false
1988,St. Louis,St. Louis Blues,NHL,Campbell,Norris,,,,true,1,false,false
1989,St. Louis,St. Louis Blues,NHL,Campbell,Norris,,,,true,1,false,false
1990,St. Louis,St. Louis Blues,NHL,Campbell,Norris,,,,true,1,false,false
1991,St. Louis,St. Louis Blues,NHL,Campbell,Norris,,,,true,0,false,false
1992,St. Louis,St. Louis Blues,NHL,Campbell,Norris,,,,true,1,false,false
1993,St. Louis,St. Louis Blues,NHL,Western,Central,,,,true,0,false,false
1994,St. Louis,St. Louis Blues,NHL,Western,Central,,,,true,0,false,false
1995,St. Louis,St. Louis Blues,NHL,Western,Central,,,,true,1,false,false
1996,St. Louis,St. Louis Blues,NHL,Western,Central,,,,true,0,false,false
1997,St. Louis,St. Louis Blues,NHL,Western,Central,,,,true,1,false,false
1998,St. Louis,St. Louis Blues,NHL,Western,Central,,,,true,1,false,false
1999,St. Louis,St. Louis Blues,NHL,Western,Central,FIRST,FIRST,FIRST,true,0,false,false
2000,St. Louis,St. Louis Blues,NHL,Western,Central,,,,true,2,false,false
2001,St. Louis,St. Louis Blues,NHL,Western,Central,,,,true,1,false,false
2002,St. Louis,St. Louis Blues,NHL,Western,Central,,,,true,0,false,false
2003,St. Louis,St. Louis Blues,NHL,Western,Central,,,,true,0,false,false
2005,St. Louis,St. Louis Blues,NHL,Western,Central,LAST,LAST,LAST,false,,,
2006,St. Louis,St. Louis Blues,NHL,Western,Central,,,,false,,,
2007,St. Louis,St. Louis Blues,NHL,Western,Central,,,LAST,false,,,
2008,St. Louis,St. Louis Blues,NHL,Western,Central,,,,true,0,false,false
2009,St. Louis,St. Louis Blues,NHL,Western,Central,,,,false,,,
2010,St. Louis,St. Louis Blues,NHL,Western,Central,,,,false,,,
2011,St. Louis,St. Louis Blues,NHL,Western,Central,,,FIRST,true,1,false,false
2012,St. Louis,St. Louis Blues,NHL,Western,Central,,,,true,0,false,false
2013,St. Louis,St. Louis Blues,NHL,Western,Central,,,,true,0,false,false
2014,St. Louis,St. Louis Blues,NHL,Western,Central,,FIRST_TIED,FIRST,true,0,false,false
2015,St. Louis,St. Louis Blues,NHL,Western,Central,,,,true,2,false,false
2016,St. Louis,St. Louis Blues,NHL,Western,Central,,,,true,1,false,false
2017,St. Louis,St. Louis Blues,NHL,Western,Central,,,,false,,,
2018,St. Louis,St. Louis Blues,NHL,Western,Central,,,,true,4,true,true
2019,St. Louis,St. Louis Blues,NHL,Western,Central,,FIRST,FIRST,true,0,false,false
2020,St. Louis,St. Louis Blues,NHL,West,,,,,true,0,false,false
2021,St. Louis,St. Louis Blues,NHL,Western,Central,,,,true,1,false,false
2022,St. Louis,St. Louis Blues,NHL,Western,Central,,,,false,,,
2023,St. Louis,St. Louis Blues,NHL,Western,Central,,,,false,,,
2024,St. Louis,St. Louis Blues,NHL,Western,Central,,,,true,0,false,false
