season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1966,Kansas City,Kansas City Chiefs,NFL,AFL West,,,FIRST,,true,1,true,
1967,Kansas City,Kansas City Chiefs,NFL,AFL West,,,,,false,,,
1968,Kansas City,Kansas City Chiefs,NFL,AFL West,,,FIRST_TIED,,true,0,,
1969,Kansas City,Kansas City Chiefs,NFL,AFL West,,,,,true,3,true,true
1970,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,,,false,,,
1971,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,FIRST_TIED,FIRST,true,0,,
1972,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,,,false,,,
1973,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,,,false,,,
1974,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,,LAST_TIED,false,,,
1975,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,,,false,,,
1976,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,,,false,,,
1977,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,LAST_TIED,LAST,LAST,false,,,
1978,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,LAST_TIED,LAST,false,,,
1979,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,,LAST,false,,,
1980,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,,,false,,,
1981,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,,,false,,,
1982,Kansas City,Kansas City Chiefs,NFL,AFC,,,,,false,,,
1983,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,,LAST_TIED,false,,,
1984,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,,,false,,,
1985,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,,LAST,false,,,
1986,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,,,true,0,,
1987,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,LAST_TIED,LAST,false,,,
1988,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,LAST,LAST,false,,,
1989,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,,,false,,,
1990,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,,,true,0,,
1991,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,,,true,1,,
1992,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,,,true,0,,
1993,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,,FIRST,true,2,,
1994,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,,,true,0,,
1995,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,FIRST,FIRST,FIRST,true,0,,
1996,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,,,false,,,
1997,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,FIRST_TIED,FIRST,FIRST,true,0,,
1998,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,,,false,,,
1999,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,,FIRST_TIED,false,,,
2000,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,,,false,,,
2001,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,,,false,,,
2002,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,,LAST_TIED,false,,,
2003,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,,FIRST,true,0,,
2004,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,,,false,,,
2005,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,,,false,,,
2006,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,,,true,0,,
2007,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,,LAST_TIED,false,,,
2008,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,LAST,LAST,false,,,
2009,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,LAST,LAST,false,,,
2010,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,,FIRST,true,0,,
2011,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,,LAST,false,,,
2012,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,LAST_TIED,LAST_TIED,LAST,false,,,
2013,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,,,true,0,,
2014,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,,,false,,,
2015,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,,,true,1,,
2016,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,,FIRST_TIED,true,0,,
2017,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,,FIRST,true,0,,
2018,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,FIRST_TIED,FIRST_TIED,true,1,,
2019,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,,FIRST,true,3,true,true
2020,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,FIRST,FIRST,FIRST,true,2,true,
2021,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,FIRST_TIED,FIRST,true,2,,
2022,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,FIRST_TIED,FIRST,FIRST,true,3,true,true
2023,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,,,FIRST,true,4,true,true
2024,Kansas City,Kansas City Chiefs,NFL,AFC,AFC West,FIRST_TIED,FIRST,FIRST,true,2,true,
