season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
2006,Chicago,Chicago Sky,WNBA,East,,LAST,LAST,,false,,,
2007,Chicago,Chicago Sky,WNBA,East,,,LAST,,false,,,
2008,Chicago,Chicago Sky,WNBA,East,,,,,false,,,
2009,Chicago,Chicago Sky,WNBA,East,,,,,false,,,
2010,Chicago,Chicago Sky,WNBA,East,,,LAST,,false,,,
2011,Chicago,Chicago Sky,WNBA,East,,,,,false,,,
2012,Chicago,Chicago Sky,WNBA,East,,,,,false,,,
2013,Chicago,Chicago Sky,WNBA,East,,,FIRST,,true,0,false,false
2014,Chicago,Chicago Sky,WNBA,East,,,,,true,2,true,false
2015,Chicago,Chicago Sky,WNBA,East,,,,,true,0,false,false
2016,Chicago,Chicago Sky,WNBA,East,,,,,true,1,false,false
2017,Chicago,Chicago Sky,WNBA,East,,,,,false,,,
2018,Chicago,Chicago Sky,WNBA,East,,,,,false,,,
2019,Chicago,Chicago Sky,WNBA,East,,,,,true,1,false,false
2020,Chicago,Chicago Sky,WNBA,East,,,FIRST,,true,0,false,false
2021,Chicago,Chicago Sky,WNBA,East,,,,,true,4,true,true
2022,Chicago,Chicago Sky,WNBA,East,,FIRST_TIED,FIRST,,true,1,false,false
2023,Chicago,Chicago Sky,WNBA,East,,,,,true,0,false,false
2024,Chicago,Chicago Sky,WNBA,East,,,LAST,,false,,,
