season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1996,San Francisco Bay,San Jose Clash,MLS,West,,,,,true,0,,
1997,San Francisco Bay,San Jose Clash,MLS,West,,LAST,LAST,,,,,
1998,San Francisco Bay,San Jose Clash,MLS,West,,,,,,,,
1999,San Francisco Bay,San Jose Clash,MLS,West,,,,,,,,
2000,San Francisco Bay,San Jose Earthquakes,MLS,West,,LAST,LAST,,,,,
2001,San Francisco Bay,San Jose Earthquakes,MLS,West,,,,,true,3,true,true
2002,San Francisco Bay,San Jose Earthquakes,MLS,West,,,,,true,0,,
2003,San Francisco Bay,San Jose Earthquakes,MLS,West,,,FIRST,,true,3,true,true
2004,San Francisco Bay,San Jose Earthquakes,MLS,West,,,,,true,0,,
2005,San Francisco Bay,San Jose Earthquakes,MLS,West,,FIRST,FIRST,,true,0,,
2008,San Francisco Bay,San Jose Earthquakes,MLS,West,,LAST_TIED,LAST_TIED,,,,,
2009,San Francisco Bay,San Jose Earthquakes,MLS,West,,,LAST,,,,,
2010,San Francisco Bay,San Jose Earthquakes,MLS,West,,,,,true,1,,
2011,San Francisco Bay,San Jose Earthquakes,MLS,West,,,,,,,,
2012,San Francisco Bay,San Jose Earthquakes,MLS,West,,FIRST,FIRST,,true,0,,
2013,San Francisco Bay,San Jose Earthquakes,MLS,West,,,,,,,,
2014,San Francisco Bay,San Jose Earthquakes,MLS,West,,,LAST,,,,,
2015,San Francisco Bay,San Jose Earthquakes,MLS,West,,,,,,,,
2016,San Francisco Bay,San Jose Earthquakes,MLS,West,,,,,,,,
2017,San Francisco Bay,San Jose Earthquakes,MLS,West,,,,,true,0,,
2018,San Francisco Bay,San Jose Earthquakes,MLS,West,,LAST,LAST,,,,,
2019,San Francisco Bay,San Jose Earthquakes,MLS,West,,,,,,,,
2020,San Francisco Bay,San Jose Earthquakes,MLS,West,,,,,true,0,,
2021,San Francisco Bay,San Jose Earthquakes,MLS,West,,,,,,,,
2022,San Francisco Bay,San Jose Earthquakes,MLS,West,,,LAST,,,,,
2023,San Francisco Bay,San Jose Earthquakes,MLS,West,,,,,true,0,,
2024,San Francisco Bay,San Jose Earthquakes,MLS,West,,LAST,LAST,,,,,
