season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1996,Kansas City,Kansas City Wiz,MLS,West,,,,,true,1,,
1997,Kansas City,Kansas City Wizards,MLS,West,,,FIRST,,true,0,,
1998,Kansas City,Kansas City Wizards,MLS,West,,,LAST,,,,,
1999,Kansas City,Kansas City Wizards,MLS,West,,,LAST,,,,,
2000,Kansas City,Kansas City Wizards,MLS,West,,FIRST_TIED,FIRST_TIED,,true,3,true,true
2001,Kansas City,Kansas City Wizards,MLS,West,,,,,true,0,,
2002,Kansas City,Kansas City Wizards,MLS,West,,,LAST,,true,0,,
2003,Kansas City,Kansas City Wizards,MLS,West,,,,,true,1,,
2004,Kansas City,Kansas City Wizards,MLS,West,,FIRST_TIED,FIRST,,true,2,true,
2005,Kansas City,Kansas City Wizards,MLS,East,,,,,,,,
2006,Kansas City,Kansas City Wizards,MLS,East,,,,,,,,
2007,Kansas City,Kansas City Wizards,MLS,East,,,,,true,1,,
2008,Kansas City,Kansas City Wizards,MLS,East,,,,,true,0,,
2009,Kansas City,Kansas City Wizards,MLS,East,,,,,,,,
2010,Kansas City,Kansas City Wizards,MLS,East,,,,,,,,
2011,Kansas City,Sporting KC,MLS,East,,,FIRST,,true,1,,
2012,Kansas City,Sporting KC,MLS,East,,,FIRST,,true,0,,
2013,Kansas City,Sporting KC,MLS,East,,,,,true,3,true,true
2014,Kansas City,Sporting KC,MLS,East,,,,,true,0,,
2015,Kansas City,Sporting KC,MLS,West,,,,,true,0,,
2016,Kansas City,Sporting KC,MLS,West,,,,,true,0,,
2017,Kansas City,Sporting KC,MLS,West,,,,,true,0,,
2018,Kansas City,Sporting KC,MLS,West,,,FIRST,,true,1,,
2019,Kansas City,Sporting KC,MLS,West,,,,,,,,
2020,Kansas City,Sporting KC,MLS,West,,,FIRST_TIED,,true,1,,
2021,Kansas City,Sporting KC,MLS,West,,,,,true,1,,
2022,Kansas City,Sporting KC,MLS,West,,,,,,,,
2023,Kansas City,Sporting KC,MLS,West,,,,,true,2,,
