season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1996,Dallas,Dallas Burn,MLS,West,,,,,true,0,,
1997,Dallas,Dallas Burn,MLS,West,,,,,true,1,,
1998,Dallas,Dallas Burn,MLS,West,,,,,true,0,,
1999,Dallas,Dallas Burn,MLS,West,,,,,true,1,,
2000,Dallas,Dallas Burn,MLS,Central,,,,,true,0,,
2001,Dallas,Dallas Burn,MLS,Central,,,,,true,0,,
2002,Dallas,Dallas Burn,MLS,West,,,,,true,0,,
2003,Dallas,Dallas Burn,MLS,West,,LAST,LAST,,,,,
2004,Dallas,FC Dallas,MLS,West,,,LAST,,,,,
2005,Dallas,FC Dallas,MLS,West,,,,,true,0,,
2006,Dallas,FC Dallas,MLS,West,,,FIRST,,true,0,,
2007,Dallas,FC Dallas,MLS,West,,,,,true,0,,
2008,Dallas,FC Dallas,MLS,West,,,,,,,,
2009,Dallas,FC Dallas,MLS,West,,,,,,,,
2010,Dallas,FC Dallas,MLS,West,,,,,true,2,true,
2011,Dallas,FC Dallas,MLS,West,,,,,true,0,,
2012,Dallas,FC Dallas,MLS,West,,,,,,,,
2013,Dallas,FC Dallas,MLS,West,,,,,,,,
2014,Dallas,FC Dallas,MLS,West,,,,,true,1,,
2015,Dallas,FC Dallas,MLS,West,,FIRST_TIED,FIRST,,true,1,,
2016,Dallas,FC Dallas,MLS,West,,FIRST,FIRST,,true,1,,
2017,Dallas,FC Dallas,MLS,West,,,,,,,,
2018,Dallas,FC Dallas,MLS,West,,,,,true,0,,
2019,Dallas,FC Dallas,MLS,West,,,,,true,0,,
2020,Dallas,FC Dallas,MLS,West,,,,,true,1,,
2021,Dallas,FC Dallas,MLS,West,,,,,,,,
2022,Dallas,FC Dallas,MLS,West,,,,,true,1,,
2023,Dallas,FC Dallas,MLS,West,,,,,true,0,,
