season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
2009,Seattle,Seattle Sounders,MLS,West,,,,,true,0,false,false
2010,Seattle,Seattle Sounders,MLS,West,,,,,true,0,false,false
2011,Seattle,Seattle Sounders,MLS,West,,,,,true,0,false,false
2012,Seattle,Seattle Sounders,MLS,West,,,,,true,1,false,false
2013,Seattle,Seattle Sounders,MLS,West,,,,,true,1,false,false
2014,Seattle,Seattle Sounders,MLS,West,,FIRST,FIRST,,true,1,false,false
2015,Seattle,Seattle Sounders,MLS,West,,,,,true,1,false,false
2016,Seattle,Seattle Sounders,MLS,West,,,,,true,4,true,true
2017,Seattle,Seattle Sounders,MLS,West,,,FIRST_TIED,,true,2,true,false
2018,Seattle,Seattle Sounders,MLS,West,,,,,true,0,false,false
2019,Seattle,Seattle Sounders,MLS,West,,,,,true,4,true,true
2020,Seattle,Seattle Sounders,MLS,West,,,FIRST_TIED,,true,3,true,false
2021,Seattle,Seattle Sounders,MLS,West,,,,,true,0,false,false
2022,Seattle,Seattle Sounders,MLS,West,,,,,false,,,
2023,Seattle,Seattle Sounders,MLS,West,,,,,true,1,false,false
2024,Seattle,Seattle Sounders,MLS,West,,,,,true,2,false,false
